Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC63.2,NC69.1,W11xW13R1,0.05,0.1943,3940000,6930000,5700000,3.8855,0.8481,0.1779,1.4335,1.1896
NC63.2,NC69.1,W11xW13R2,0.05,0.1297,8550000,7680000,4700000,2.5934,0.9161,0.7015,1.7836,1.6433
NC63.2,NC69.1,W11xW13R3,0.05,0.2503,4210000,4750000,3250000,5.0051,0.7892,0.2588,1.8519,1.4532
NC63.2,NC71.1,W11xW14R1,0.05,0.2873,8550000,5230000,4700000,5.7469,0.7502,0.3165,1.4834,1.1481
NC63.2,NC71.1,W11xW14R2,0.05,0.2359,4210000,3830000,3250000,4.7179,0.8043,0.2746,1.4652,1.1843
NC63.2,NC80.1,W11xW18R1,0.05,0.0892,8550000,6600000,6100000,1.7842,0.9587,0.7856,1.1285,1.098
NC63.2,NC80.1,W11xW18R2,0.05,0.1015,4210000,8050000,9600000,2.0308,0.9457,0.2159,0.8866,0.8185
NC63.2,NC99.1,W11xW23R1,0.05,0.1237,3940000,5680000,5400000,2.4744,0.9224,0.2949,1.1403,1.0357
NC63.2,NC99.1,W11xW23R2,0.05,0.1172,8550000,7180000,8250000,2.3444,0.9292,0.4421,0.9366,0.8786
NC63.2,NC99.1,W11xW23R3,0.05,0.0862,4210000,8650000,11400000,1.7231,0.9619,0.2143,0.7888,0.7393
NC63.2,NC34.2,W11xW3R1,0.05,0.1234,8550000,3380000,3700000,2.4689,0.9227,0.936,0.9901,0.9834
NC63.2,NC34.2,W11xW3R2,0.05,0.1149,4210000,4400000,4250000,2.2974,0.9317,0.4312,1.1112,1.0331
NC63.2,NC52.3,W11xW6R1,0.05,0.1504,8550000,7320000,7100000,3.0083,0.8943,0.4003,1.1528,1.0396
NC63.2,NC52.3,W11xW6R2,0.05,0.0657,6480000,8120000,8800000,1.3131,0.9835,0.5608,0.9382,0.9134
NC63.2,NC52.3,W11xW6R3,0.05,0.0604,7000000,7550000,9050000,1.2083,0.989,0.6401,0.8435,0.8312
NC63.2,NC52.3,W11xW6R4,0.05,0.1026,4210000,8750000,9250000,2.0513,0.9447,0.2219,1.0014,0.9214
NC63.2,NC60.1,W11xW9R1,0.05,0.1203,8550000,7390000,7250000,2.4066,0.926,0.49,1.1008,1.0273
NC63.2,NC60.1,W11xW9R2,0.05,0.0872,4210000,9530000,10500000,1.7436,0.9609,0.23,0.9446,0.8823
NC28.1,NC63.2,W1xW11R1,0.05,0.104,9290000,8125000,5750000,2.0425,0.9451,0.7768,1.4982,1.4232
NC28.1,NC63.2,W1xW11R10,0.05,0.0705,8550000,8551000,7950000,1.4108,0.9784,0.7623,1.0994,1.0756
NC28.1,NC63.2,W1xW11R11,0.05,0.1026,9600000,4210000,4250000,2.0513,0.9447,1.1012,1.0486,1.054
NC28.1,NC63.2,W1xW11R12,0.05,0.127,6160000,7040000,6490000,2.54,0.9189,0.3737,1.1804,1.078
NC28.1,NC63.2,W1xW11R13,0.05,0.098,6890000,7580000,6650000,1.96,0.9495,0.5286,1.2005,1.1347
NC28.1,NC63.2,W1xW11R14,0.05,0.101,5540000,5920000,6040000,2.02,0.9463,0.4541,1.0357,0.977
NC28.1,NC63.2,W1xW11R15,0.05,0.098,6010000,6500000,6050000,1.96,0.9495,0.5068,1.1316,1.0703
NC28.1,NC63.2,W1xW11R16,0.05,0.114,7240000,7660000,7160000,2.28,0.9326,0.4435,1.1471,1.0669
NC28.1,NC63.2,W1xW11R17,0.05,0.104,6650000,7500000,7510000,2.08,0.9432,0.4257,1.0589,0.993
NC28.1,NC63.2,W1xW11R18,0.05,0.114,7910000,8430000,7190000,2.28,0.9326,0.4825,1.2572,1.1688
NC28.1,NC63.2,W1xW11R3,0.05,0.068,9680000,8941667,8650000,1.3158,0.9834,0.8228,1.0537,1.038
NC28.1,NC63.2,W1xW11R5,0.05,0.104,5320000,2980000,2400000,2.0528,0.9446,1.0657,1.3165,1.2904
NC28.1,NC63.2,W1xW11R7,0.05,0.1111,6125000,1150000,1600000,2.2222,0.9357,1.7227,0.7682,0.8742
NC28.1,NC63.2,W1xW11R8,0.05,0.0914,9900000,4925000,5600000,1.8274,0.9565,0.9674,0.9195,0.9239
NC28.1,NC63.2,W1xW11R9,0.05,0.137,12200000,3943750,3700000,2.7403,0.9084,1.2033,1.1734,1.1774
NC28.1,NC69.1,W1xW13R1,0.05,0.083,6130000,8300000,5900000,1.66,0.9653,0.6259,1.4574,1.3884
NC28.1,NC69.1,W1xW13R2,0.05,0.1523,9900000,6900000,6750000,3.0457,0.8923,0.4816,1.1456,1.0444
NC28.1,NC71.1,W1xW14R1,0.05,0.1774,6130000,2580000,2000000,3.5474,0.8659,0.864,1.4897,1.3788
NC28.1,NC71.1,W1xW14R2,0.05,0.2883,9900000,6100000,6550000,5.7665,0.7491,0.2621,1.2432,0.9603
NC28.1,NC80.1,W1xW18R1,0.05,0.0703,6130000,1900000,6350000,1.4067,0.9786,0.6862,0.3058,0.3325
NC28.1,NC80.1,W1xW18R2,0.05,0.1188,9900000,7250000,6400000,2.3756,0.9276,0.6511,1.2212,1.1535
NC28.1,NC99.1,W1xW23R1,0.05,0.0815,6130000,8450000,8150000,1.631,0.9668,0.4612,1.0724,1.0226
NC28.1,NC99.1,W1xW23R2,0.05,0.0873,6130000,8450000,.,1.7462,0.9607,.,.,.
NC28.1,NC34.2,W1xW3R1,0.05,0.0561,6130000,9080000,8100000,1.1213,0.9936,0.6749,1.1282,1.1028
NC28.1,NC34.2,W1xW3R2,0.05,0.0975,9900000,4170000,4750000,1.9492,0.95,1.0692,0.9241,0.9382
NC28.1,NC52.3,W1xW6R1,0.05,0.0887,6130000,6550000,7450000,1.7737,0.9593,0.4639,0.9165,0.8764
NC28.1,NC52.3,W1xW6R2,0.05,0.1015,9900000,7330000,6800000,2.0305,0.9458,0.717,1.1398,1.0968
NC28.1,NC52.3,W1xW6R3,0.05,0.0737,8230000,8120000,8250000,1.4747,0.975,0.6764,1.0095,0.9849
NC28.1,NC52.3,W1xW6R4,0.05,0.0885,7480000,7550000,8350000,1.7708,0.9594,0.5059,0.9424,0.9038
NC28.1,NC60.1,W1xW9R1,0.05,0.0683,6130000,7000000,8100000,1.366,0.9807,0.554,0.8812,0.8588
NC28.1,NC60.1,W1xW9R2,0.05,0.0751,9900000,9700000,7550000,1.5025,0.9736,0.8727,1.3197,1.2861
NC28.1,NC60.1,W1xW9R3,0.05,0.0779,7240000,8690000,7550000,1.5576,0.9707,0.6157,1.1858,1.1414
NC28.1,NC60.1,W1xW9R4,0.05,0.0975,7240000,8690000,7850000,1.9497,0.95,0.473,1.1652,1.0978
NC105.1,NC63.2,W24xW11R1,0.05,0.1455,8950000,5680000,5700000,2.9091,0.8995,0.5397,1.1078,1.0252
NC105.1,NC63.2,W24xW11R2,0.05,0.1245,9400000,4450000,7050000,2.4899,0.9216,0.5355,0.6849,0.6663
NC105.1,NC63.2,W24xW11R3,0.05,0.0951,8580000,3940000,3600000,1.9018,0.9525,1.2532,1.149,1.1589
NC105.1,NC63.2,W24xW11R4,0.05,0.0861,8780000,8550000,8250000,1.722,0.962,0.618,1.0773,1.0378
NC105.1,NC63.2,W24xW11R5,0.05,0.1015,11500000,4210000,3600000,2.0308,0.9457,1.573,1.2365,1.2707
NC105.1,NC69.1,W24xW13R1,0.05,0.1349,12200000,7390000,.,2.6989,0.9106,.,.,.
